STATE,COUNTY,STNAME,CTYNAME,population,fips,STATE_ABBREV,merge_key,County Code,Deaths,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,BUYER_STATE,BUYER_COUNTY,TOTAL_MME,merge_on_arcos,Year
6,45,California,Mendocino County,87345,6045,CA,"MENDOCINO COUNTY, CA",6045,,,,CA,MENDOCINO,137248651.3931515,"MENDOCINO COUNTY, CA",2006
6,47,California,Merced County,245338,6047,CA,"MERCED COUNTY, CA",6047,,,,CA,MERCED,108674544.980516,"MERCED COUNTY, CA",2006
6,49,California,Modoc County,9617,6049,CA,"MODOC COUNTY, CA",6049,,,,CA,MODOC,9625632.378603,"MODOC COUNTY, CA",2006
6,51,California,Mono County,13743,6051,CA,"MONO COUNTY, CA",6051,,,,CA,MONO,2011256.347768,"MONO COUNTY, CA",2006
6,53,California,Monterey County,401831,6053,CA,"MONTEREY COUNTY, CA",6053,,,,CA,MONTEREY,238660450.301039,"MONTEREY COUNTY, CA",2006
6,55,California,Napa County,131440,6055,CA,"NAPA COUNTY, CA",6055,,,,CA,NAPA,108416935.231449,"NAPA COUNTY, CA",2006
6,57,California,Nevada County,97549,6057,CA,"NEVADA COUNTY, CA",6057,,,,CA,NEVADA,140279281.6589255,"NEVADA COUNTY, CA",2006
6,59,California,Orange County,2932261,6059,CA,"ORANGE COUNTY, CA",6059,,,,,,,,2006
6,61,California,Placer County,321934,6061,CA,"PLACER COUNTY, CA",6061,,,,CA,PLACER,479333137.9011545,"PLACER COUNTY, CA",2006
6,63,California,Plumas County,20762,6063,CA,"PLUMAS COUNTY, CA",6063,,,,CA,PLUMAS,29426392.8380225,"PLUMAS COUNTY, CA",2006
6,65,California,Riverside County,2012370,6065,CA,"RIVERSIDE COUNTY, CA",6065,,,,,,,,2006
6,67,California,Sacramento County,1369563,6067,CA,"SACRAMENTO COUNTY, CA",6067,,,,,,,,2006
6,69,California,San Benito County,54124,6069,CA,"SAN BENITO COUNTY, CA",6069,,,,CA,SAN BENITO,21485726.6444225,"SAN BENITO COUNTY, CA",2006
6,71,California,San Bernardino County,1974140,6071,CA,"SAN BERNARDINO COUNTY, CA",6071,,,,,,,,2006
6,73,California,San Diego County,2947289,6073,CA,"SAN DIEGO COUNTY, CA",6073,,,,,,,,2006
6,75,California,San Francisco County,768650,6075,CA,"SAN FRANCISCO COUNTY, CA",6075,,,,CA,SAN FRANCISCO,859706799.2059457,"SAN FRANCISCO COUNTY, CA",2006
6,77,California,San Joaquin County,662812,6077,CA,"SAN JOAQUIN COUNTY, CA",6077,,,,,,,,2006
6,79,California,San Luis Obispo County,260498,6079,CA,"SAN LUIS OBISPO COUNTY, CA",6079,,,,,,,,2006
6,81,California,San Mateo County,690176,6081,CA,"SAN MATEO COUNTY, CA",6081,,,,,,,,2006
6,83,California,Santa Barbara County,408085,6083,CA,"SANTA BARBARA COUNTY, CA",6083,,,,CA,SANTA BARBARA,357679242.7147064,"SANTA BARBARA COUNTY, CA",2006
6,85,California,Santa Clara County,1691159,6085,CA,"SANTA CLARA COUNTY, CA",6085,,,,,,,,2006
6,87,California,Santa Cruz County,251616,6087,CA,"SANTA CRUZ COUNTY, CA",6087,,,,CA,SANTA CRUZ,223619102.0726585,"SANTA CRUZ COUNTY, CA",2006
6,89,California,Shasta County,176166,6089,CA,"SHASTA COUNTY, CA",6089,,,,CA,SHASTA,339762441.273581,"SHASTA COUNTY, CA",2006
6,91,California,Sierra County,3424,6091,CA,"SIERRA COUNTY, CA",6091,,,,CA,SIERRA,870287.728953,"SIERRA COUNTY, CA",2006
6,93,California,Siskiyou County,44487,6093,CA,"SISKIYOU COUNTY, CA",6093,,,,CA,SISKIYOU,49881830.77973,"SISKIYOU COUNTY, CA",2006
6,95,California,Solano County,408402,6095,CA,"SOLANO COUNTY, CA",6095,,,,,,,,2006
6,97,California,Sonoma County,465188,6097,CA,"SONOMA COUNTY, CA",6097,,,,,,,,2006
6,99,California,Stanislaus County,504651,6099,CA,"STANISLAUS COUNTY, CA",6099,,,,CA,STANISLAUS,567178645.3068575,"STANISLAUS COUNTY, CA",2006
6,101,California,Sutter County,91112,6101,CA,"SUTTER COUNTY, CA",6101,,,,CA,SUTTER,109199140.1765025,"SUTTER COUNTY, CA",2006
6,103,California,Tehama County,61587,6103,CA,"TEHAMA COUNTY, CA",6103,,,,CA,TEHAMA,63094610.147974,"TEHAMA COUNTY, CA",2006
6,105,California,Trinity County,13634,6105,CA,"TRINITY COUNTY, CA",6105,,,,CA,TRINITY,17954995.9489145,"TRINITY COUNTY, CA",2006
6,107,California,Tulare County,414921,6107,CA,"TULARE COUNTY, CA",6107,,,,,,,,2006
6,109,California,Tuolumne County,56680,6109,CA,"TUOLUMNE COUNTY, CA",6109,,,,CA,TUOLUMNE,92848458.303169,"TUOLUMNE COUNTY, CA",2006
6,111,California,Ventura County,798183,6111,CA,"VENTURA COUNTY, CA",6111,,,,,,,,2006
6,113,California,Yolo County,189615,6113,CA,"YOLO COUNTY, CA",6113,,,,,,,,2006
6,115,California,Yuba County,69272,6115,CA,"YUBA COUNTY, CA",6115,,,,CA,YUBA,86327074.1311235,"YUBA COUNTY, CA",2006
8,1,Colorado,Adams County,406575,8001,CO,"ADAMS COUNTY, CO",8001,,,,,,,,2006
8,3,Colorado,Alamosa County,15196,8003,CO,"ALAMOSA COUNTY, CO",8003,,,,CO,ALAMOSA,15949053.44401325,"ALAMOSA COUNTY, CO",2006
8,5,Colorado,Arapahoe County,531619,8005,CO,"ARAPAHOE COUNTY, CO",8005,,,,,,,,2006
8,7,Colorado,Archuleta County,11937,8007,CO,"ARCHULETA COUNTY, CO",8007,,,,CO,ARCHULETA,2908683.1841269997,"ARCHULETA COUNTY, CO",2006
8,9,Colorado,Baca County,3933,8009,CO,"BACA COUNTY, CO",8009,,,,CO,BACA,3574761.885881,"BACA COUNTY, CO",2006
8,11,Colorado,Bent County,6012,8011,CO,"BENT COUNTY, CO",8011,,,,CO,BENT,1200247.890862,"BENT COUNTY, CO",2006
8,13,Colorado,Boulder County,284243,8013,CO,"BOULDER COUNTY, CO",8013,,,,CO,BOULDER,188449998.24484217,"BOULDER COUNTY, CO",2006
8,14,Colorado,Broomfield County,48729,8014,CO,"BROOMFIELD COUNTY, CO",8014,,,,,,,,2006
8,15,Colorado,Chaffee County,17087,8015,CO,"CHAFFEE COUNTY, CO",8015,,,,CO,CHAFFEE,12586517.950691,"CHAFFEE COUNTY, CO",2006
8,17,Colorado,Cheyenne County,1912,8017,CO,"CHEYENNE COUNTY, CO",8017,,,,CO,CHEYENNE,350204.329044,"CHEYENNE COUNTY, CO",2006
8,19,Colorado,Clear Creek County,9042,8019,CO,"CLEAR CREEK COUNTY, CO",8019,,,,CO,CLEAR CREEK,3388825.864873,"CLEAR CREEK COUNTY, CO",2006
8,21,Colorado,Conejos County,8256,8021,CO,"CONEJOS COUNTY, CO",8021,,,,CO,CONEJOS,4329035.163835,"CONEJOS COUNTY, CO",2006
8,23,Colorado,Costilla County,3571,8023,CO,"COSTILLA COUNTY, CO",8023,,,,,,,,2006
8,25,Colorado,Crowley County,5886,8025,CO,"CROWLEY COUNTY, CO",8025,,,,CO,CROWLEY,4204892.554098,"CROWLEY COUNTY, CO",2006
8,27,Colorado,Custer County,3994,8027,CO,"CUSTER COUNTY, CO",8027,,,,CO,CUSTER,8137.5,"CUSTER COUNTY, CO",2006
8,29,Colorado,Delta County,29789,8029,CO,"DELTA COUNTY, CO",8029,,,,CO,DELTA,24897597.473265,"DELTA COUNTY, CO",2006
8,31,Colorado,Denver County,556895,8031,CO,"DENVER COUNTY, CO",8031,,,,,,,,2006
8,33,Colorado,Dolores County,1973,8033,CO,"DOLORES COUNTY, CO",8033,,,,CO,DOLORES,60019.829744999995,"DOLORES COUNTY, CO",2006
8,35,Colorado,Douglas County,256136,8035,CO,"DOUGLAS COUNTY, CO",8035,,,,,,,,2006
8,37,Colorado,Eagle County,48476,8037,CO,"EAGLE COUNTY, CO",8037,,,,CO,EAGLE,18499720.6153015,"EAGLE COUNTY, CO",2006
8,39,Colorado,Elbert County,22423,8039,CO,"ELBERT COUNTY, CO",8039,,,,CO,ELBERT,2708233.920951,"ELBERT COUNTY, CO",2006
8,41,Colorado,El Paso County,580251,8041,CO,"EL PASO COUNTY, CO",8041,,,,,,,,2006
8,43,Colorado,Fremont County,46873,8043,CO,"FREMONT COUNTY, CO",8043,,,,CO,FREMONT,30039419.34622275,"FREMONT COUNTY, CO",2006
8,45,Colorado,Garfield County,51594,8045,CO,"GARFIELD COUNTY, CO",8045,,,,CO,GARFIELD,28648295.074374,"GARFIELD COUNTY, CO",2006
8,47,Colorado,Gilpin County,4883,8047,CO,"GILPIN COUNTY, CO",8047,,,,CO,GILPIN,578824.851901,"GILPIN COUNTY, CO",2006
8,49,Colorado,Grand County,14003,8049,CO,"GRAND COUNTY, CO",8049,,,,CO,GRAND,4971510.133756,"GRAND COUNTY, CO",2006
8,51,Colorado,Gunnison County,14720,8051,CO,"GUNNISON COUNTY, CO",8051,,,,CO,GUNNISON,4652525.681682,"GUNNISON COUNTY, CO",2006
8,53,Colorado,Hinsdale County,815,8053,CO,"HINSDALE COUNTY, CO",8053,,,,CO,HINSDALE,1725.35,"HINSDALE COUNTY, CO",2006
8,55,Colorado,Huerfano County,7127,8055,CO,"HUERFANO COUNTY, CO",8055,,,,CO,HUERFANO,4341703.284417,"HUERFANO COUNTY, CO",2006
8,57,Colorado,Jackson County,1415,8057,CO,"JACKSON COUNTY, CO",8057,,,,CO,JACKSON,1937.28,"JACKSON COUNTY, CO",2006
8,59,Colorado,Jefferson County,521662,8059,CO,"JEFFERSON COUNTY, CO",8059,,,,,,,,2006
8,61,Colorado,Kiowa County,1456,8061,CO,"KIOWA COUNTY, CO",8061,,,,CO,KIOWA,488978.823142,"KIOWA COUNTY, CO",2006
8,63,Colorado,Kit Carson County,8011,8063,CO,"KIT CARSON COUNTY, CO",8063,,,,CO,KIT CARSON,1335655.969125,"KIT CARSON COUNTY, CO",2006
8,65,Colorado,Lake County,7278,8065,CO,"LAKE COUNTY, CO",8065,,,,CO,LAKE,3574424.221478,"LAKE COUNTY, CO",2006
8,67,Colorado,La Plata County,48574,8067,CO,"LA PLATA COUNTY, CO",8067,,,,CO,LA PLATA,22547119.912409,"LA PLATA COUNTY, CO",2006
8,69,Colorado,Larimer County,280713,8069,CO,"LARIMER COUNTY, CO",8069,,,,CO,LARIMER,186955222.60407075,"LARIMER COUNTY, CO",2006
8,71,Colorado,Las Animas County,15673,8071,CO,"LAS ANIMAS COUNTY, CO",8071,,,,CO,LAS ANIMAS,15011872.538715,"LAS ANIMAS COUNTY, CO",2006
8,73,Colorado,Lincoln County,5530,8073,CO,"LINCOLN COUNTY, CO",8073,,,,CO,LINCOLN,2380363.656623,"LINCOLN COUNTY, CO",2006
8,75,Colorado,Logan County,21911,8075,CO,"LOGAN COUNTY, CO",8075,,,,CO,LOGAN,13980867.289811747,"LOGAN COUNTY, CO",2006
8,77,Colorado,Mesa County,134665,8077,CO,"MESA COUNTY, CO",8077,,,,CO,MESA,105372385.85842323,"MESA COUNTY, CO",2006
8,79,Colorado,Mineral County,789,8079,CO,"MINERAL COUNTY, CO",8079,,,,,,,,2006
8,81,Colorado,Moffat County,13115,8081,CO,"MOFFAT COUNTY, CO",8081,,,,CO,MOFFAT,6975270.959482,"MOFFAT COUNTY, CO",2006
8,83,Colorado,Montezuma County,24968,8083,CO,"MONTEZUMA COUNTY, CO",8083,,,,CO,MONTEZUMA,15434956.720501,"MONTEZUMA COUNTY, CO",2006
8,85,Colorado,Montrose County,38282,8085,CO,"MONTROSE COUNTY, CO",8085,,,,CO,MONTROSE,17457027.98283955,"MONTROSE COUNTY, CO",2006
8,87,Colorado,Morgan County,27816,8087,CO,"MORGAN COUNTY, CO",8087,,,,CO,MORGAN,16131108.35404125,"MORGAN COUNTY, CO",2006
8,89,Colorado,Otero County,19042,8089,CO,"OTERO COUNTY, CO",8089,,,,CO,OTERO,15772928.422342,"OTERO COUNTY, CO",2006
8,91,Colorado,Ouray County,4090,8091,CO,"OURAY COUNTY, CO",8091,,,,CO,OURAY,2667868.888361,"OURAY COUNTY, CO",2006
8,93,Colorado,Park County,16230,8093,CO,"PARK COUNTY, CO",8093,,,,CO,PARK,1577188.52696,"PARK COUNTY, CO",2006
8,95,Colorado,Phillips County,4414,8095,CO,"PHILLIPS COUNTY, CO",8095,,,,CO,PHILLIPS,975738.418862,"PHILLIPS COUNTY, CO",2006
8,97,Colorado,Pitkin County,15504,8097,CO,"PITKIN COUNTY, CO",8097,,,,CO,PITKIN,3713078.469054,"PITKIN COUNTY, CO",2006
8,99,Colorado,Prowers County,13130,8099,CO,"PROWERS COUNTY, CO",8099,,,,CO,PROWERS,6592289.63291395,"PROWERS COUNTY, CO",2006
8,101,Colorado,Pueblo County,152026,8101,CO,"PUEBLO COUNTY, CO",8101,,,,,,,,2006
8,103,Colorado,Rio Blanco County,6176,8103,CO,"RIO BLANCO COUNTY, CO",8103,,,,CO,RIO BLANCO,2793966.917925,"RIO BLANCO COUNTY, CO",2006
8,105,Colorado,Rio Grande County,12033,8105,CO,"RIO GRANDE COUNTY, CO",8105,,,,CO,RIO GRANDE,4964879.804995,"RIO GRANDE COUNTY, CO",2006
8,107,Colorado,Routt County,21859,8107,CO,"ROUTT COUNTY, CO",8107,,,,CO,ROUTT,11554164.538621,"ROUTT COUNTY, CO",2006
8,109,Colorado,Saguache County,6223,8109,CO,"SAGUACHE COUNTY, CO",8109,,,,CO,SAGUACHE,2216.6000000000004,"SAGUACHE COUNTY, CO",2006
8,111,Colorado,San Juan County,649,8111,CO,"SAN JUAN COUNTY, CO",8111,,,,CO,SAN JUAN,242.16,"SAN JUAN COUNTY, CO",2006
8,113,Colorado,San Miguel County,7071,8113,CO,"SAN MIGUEL COUNTY, CO",8113,,,,CO,SAN MIGUEL,949266.997074,"SAN MIGUEL COUNTY, CO",2006
8,115,Colorado,Sedgwick County,2474,8115,CO,"SEDGWICK COUNTY, CO",8115,,,,CO,SEDGWICK,1423058.3462915,"SEDGWICK COUNTY, CO",2006
8,117,Colorado,Summit County,26019,8117,CO,"SUMMIT COUNTY, CO",8117,,,,CO,SUMMIT,12152516.042477,"SUMMIT COUNTY, CO",2006
8,119,Colorado,Teller County,22281,8119,CO,"TELLER COUNTY, CO",8119,,,,CO,TELLER,13071938.267816,"TELLER COUNTY, CO",2006
8,121,Colorado,Washington County,4907,8121,CO,"WASHINGTON COUNTY, CO",8121,,,,CO,WASHINGTON,1162169.955435,"WASHINGTON COUNTY, CO",2006
8,123,Colorado,Weld County,230703,8123,CO,"WELD COUNTY, CO",8123,,,,,,,,2006
8,125,Colorado,Yuma County,9784,8125,CO,"YUMA COUNTY, CO",8125,,,,CO,YUMA,5063336.379888,"YUMA COUNTY, CO",2006
12,1,Florida,Alachua County,239506,12001,FL,"ALACHUA COUNTY, FL",12001,,,,,,,,2006
12,3,Florida,Baker County,25571,12003,FL,"BAKER COUNTY, FL",12003,,,,FL,BAKER,28045924.433003,"BAKER COUNTY, FL",2006
12,5,Florida,Bay County,165644,12005,FL,"BAY COUNTY, FL",12005,21.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,FL,BAY,140632348.92533726,"BAY COUNTY, FL",2006
12,7,Florida,Bradford County,28506,12007,FL,"BRADFORD COUNTY, FL",12007,,,,FL,BRADFORD,29906810.577736,"BRADFORD COUNTY, FL",2006
12,9,Florida,Brevard County,535138,12009,FL,"BREVARD COUNTY, FL",12009,81.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,FL,BREVARD,552568510.3586864,"BREVARD COUNTY, FL",2006
12,11,Florida,Broward County,1739348,12011,FL,"BROWARD COUNTY, FL",12011,215.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,,,,,2006
12,13,Florida,Calhoun County,13997,12013,FL,"CALHOUN COUNTY, FL",12013,,,,FL,CALHOUN,5111657.7882182505,"CALHOUN COUNTY, FL",2006
12,15,Florida,Charlotte County,157099,12015,FL,"CHARLOTTE COUNTY, FL",12015,,,,FL,CHARLOTTE,190361049.4266464,"CHARLOTTE COUNTY, FL",2006
12,17,Florida,Citrus County,137826,12017,FL,"CITRUS COUNTY, FL",12017,23.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,FL,CITRUS,132493354.90058777,"CITRUS COUNTY, FL",2006
12,19,Florida,Clay County,178339,12019,FL,"CLAY COUNTY, FL",12019,15.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,FL,CLAY,176869515.10200804,"CLAY COUNTY, FL",2006
12,21,Florida,Collier County,312621,12021,FL,"COLLIER COUNTY, FL",12021,43.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,FL,COLLIER,336245955.28211325,"COLLIER COUNTY, FL",2006
12,23,Florida,Columbia County,65890,12023,FL,"COLUMBIA COUNTY, FL",12023,,,,FL,COLUMBIA,95315592.708634,"COLUMBIA COUNTY, FL",2006
12,27,Florida,DeSoto County,34300,12027,FL,"DESOTO COUNTY, FL",12027,,,,,,,,2006
12,29,Florida,Dixie County,15892,12029,FL,"DIXIE COUNTY, FL",12029,,,,FL,DIXIE,6049108.739723,"DIXIE COUNTY, FL",2006
12,31,Florida,Duval County,842098,12031,FL,"DUVAL COUNTY, FL",12031,124.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,,,,,2006
12,33,Florida,Escambia County,300395,12033,FL,"ESCAMBIA COUNTY, FL",12033,45.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,,,,,2006
12,35,Florida,Flagler County,84339,12035,FL,"FLAGLER COUNTY, FL",12035,,,,FL,FLAGLER,51590994.45267435,"FLAGLER COUNTY, FL",2006
12,37,Florida,Franklin County,11308,12037,FL,"FRANKLIN COUNTY, FL",12037,,,,FL,FRANKLIN,4423103.72057125,"FRANKLIN COUNTY, FL",2006
12,39,Florida,Gadsden County,45258,12039,FL,"GADSDEN COUNTY, FL",12039,,,,FL,GADSDEN,12217956.641576,"GADSDEN COUNTY, FL",2006
12,41,Florida,Gilchrist County,16223,12041,FL,"GILCHRIST COUNTY, FL",12041,,,,FL,GILCHRIST,10035028.102446,"GILCHRIST COUNTY, FL",2006
12,43,Florida,Glades County,12297,12043,FL,"GLADES COUNTY, FL",12043,,,,,,,,2006
12,45,Florida,Gulf County,15856,12045,FL,"GULF COUNTY, FL",12045,,,,FL,GULF,9899902.50228175,"GULF COUNTY, FL",2006
12,47,Florida,Hamilton County,14430,12047,FL,"HAMILTON COUNTY, FL",12047,,,,FL,HAMILTON,4517021.66604075,"HAMILTON COUNTY, FL",2006
12,49,Florida,Hardee County,27049,12049,FL,"HARDEE COUNTY, FL",12049,,,,FL,HARDEE,10282511.33366875,"HARDEE COUNTY, FL",2006
12,51,Florida,Hendry County,38776,12051,FL,"HENDRY COUNTY, FL",12051,,,,FL,HENDRY,28882061.60497865,"HENDRY COUNTY, FL",2006
12,53,Florida,Hernando County,164398,12053,FL,"HERNANDO COUNTY, FL",12053,25.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,,,,,2006
12,55,Florida,Highlands County,97788,12055,FL,"HIGHLANDS COUNTY, FL",12055,,,,FL,HIGHLANDS,54561683.3005613,"HIGHLANDS COUNTY, FL",2006
12,57,Florida,Hillsborough County,1171826,12057,FL,"HILLSBOROUGH COUNTY, FL",12057,158.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,,,,,2006
12,59,Florida,Holmes County,19824,12059,FL,"HOLMES COUNTY, FL",12059,,,,FL,HOLMES,10038730.251553,"HOLMES COUNTY, FL",2006
12,61,Florida,Indian River County,131463,12061,FL,"INDIAN RIVER COUNTY, FL",12061,23.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,,,,,2006
12,63,Florida,Jackson County,48265,12063,FL,"JACKSON COUNTY, FL",12063,,,,FL,JACKSON,24279454.47677225,"JACKSON COUNTY, FL",2006
12,65,Florida,Jefferson County,14461,12065,FL,"JEFFERSON COUNTY, FL",12065,,,,FL,JEFFERSON,5805343.838998999,"JEFFERSON COUNTY, FL",2006
12,67,Florida,Lafayette County,8341,12067,FL,"LAFAYETTE COUNTY, FL",12067,,,,FL,LAFAYETTE,2646628.14145775,"LAFAYETTE COUNTY, FL",2006
12,69,Florida,Lake County,281329,12069,FL,"LAKE COUNTY, FL",12069,16.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,FL,LAKE,168978406.97481486,"LAKE COUNTY, FL",2006
12,71,Florida,Lee County,582678,12071,FL,"LEE COUNTY, FL",12071,82.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,FL,LEE,819718005.8205515,"LEE COUNTY, FL",2006
12,73,Florida,Leon County,263076,12073,FL,"LEON COUNTY, FL",12073,,,,,,,,2006
12,75,Florida,Levy County,39447,12075,FL,"LEVY COUNTY, FL",12075,,,,FL,LEVY,40669753.08677975,"LEVY COUNTY, FL",2006
12,77,Florida,Liberty County,8011,12077,FL,"LIBERTY COUNTY, FL",12077,,,,FL,LIBERTY,1237384.905898,"LIBERTY COUNTY, FL",2006
12,79,Florida,Madison County,19299,12079,FL,"MADISON COUNTY, FL",12079,,,,FL,MADISON,6222526.89515725,"MADISON COUNTY, FL",2006
12,81,Florida,Manatee County,313771,12081,FL,"MANATEE COUNTY, FL",12081,43.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,FL,MANATEE,472844161.360962,"MANATEE COUNTY, FL",2006
12,83,Florida,Marion County,316310,12083,FL,"MARION COUNTY, FL",12083,55.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,,,,,2006
12,85,Florida,Martin County,141802,12085,FL,"MARTIN COUNTY, FL",12085,17.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,FL,MARTIN,176801831.084489,"MARTIN COUNTY, FL",2006
12,86,Florida,Miami-Dade County,2405911,12086,FL,"MIAMI-DADE COUNTY, FL",12086,125.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,,,,,2006
12,87,Florida,Monroe County,73793,12087,FL,"MONROE COUNTY, FL",12087,15.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,FL,MONROE,86569103.29246835,"MONROE COUNTY, FL",2006
12,89,Florida,Nassau County,67823,12089,FL,"NASSAU COUNTY, FL",12089,,,,FL,NASSAU,62864339.98528575,"NASSAU COUNTY, FL",2006
12,91,Florida,Okaloosa County,184071,12091,FL,"OKALOOSA COUNTY, FL",12091,27.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,FL,OKALOOSA,144441373.25910076,"OKALOOSA COUNTY, FL",2006
12,93,Florida,Okeechobee County,39668,12093,FL,"OKEECHOBEE COUNTY, FL",12093,,,,FL,OKEECHOBEE,53252558.01524525,"OKEECHOBEE COUNTY, FL",2006
12,95,Florida,Orange County,1083429,12095,FL,"ORANGE COUNTY, FL",12095,88.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,,,,,2006
12,97,Florida,Osceola County,242081,12097,FL,"OSCEOLA COUNTY, FL",12097,13.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,FL,OSCEOLA,127389803.31149624,"OSCEOLA COUNTY, FL",2006
12,99,Florida,Palm Beach County,1284489,12099,FL,"PALM BEACH COUNTY, FL",12099,162.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,,,,,2006
12,101,Florida,Pasco County,439529,12101,FL,"PASCO COUNTY, FL",12101,81.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,,,,,2006
12,103,Florida,Pinellas County,924182,12103,FL,"PINELLAS COUNTY, FL",12103,179.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,,,,,2006
12,105,Florida,Polk County,568324,12105,FL,"POLK COUNTY, FL",12105,56.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,,,,,2006
12,107,Florida,Putnam County,74663,12107,FL,"PUTNAM COUNTY, FL",12107,,,,FL,PUTNAM,79323326.22542575,"PUTNAM COUNTY, FL",2006
12,109,Florida,St. Johns County,168480,12109,FL,"ST. JOHNS COUNTY, FL",12109,,,,,,,,2006
12,111,Florida,St. Lucie County,255251,12111,FL,"ST. LUCIE COUNTY, FL",12111,28.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,,,,,2006
12,113,Florida,Santa Rosa County,142983,12113,FL,"SANTA ROSA COUNTY, FL",12113,28.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,FL,SANTA ROSA,130694480.23666126,"SANTA ROSA COUNTY, FL",2006
