STATE,COUNTY,STNAME,CTYNAME,population,fips,STATE_ABBREV,merge_key,County Code,Deaths,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,BUYER_STATE,BUYER_COUNTY,TOTAL_MME,merge_on_arcos,Year,county_state,mortality_rate_per_100k
6,89,California,Shasta County,176166,6089,CA,"SHASTA COUNTY, CA",6089,,,,CA,SHASTA,339762441.273581,"SHASTA COUNTY, CA",2006,"Shasta County, California",
6,99,California,Stanislaus County,504651,6099,CA,"STANISLAUS COUNTY, CA",6099,,,,CA,STANISLAUS,567178645.3068575,"STANISLAUS COUNTY, CA",2006,"Stanislaus County, California",
8,13,Colorado,Boulder County,284243,8013,CO,"BOULDER COUNTY, CO",8013,,,,CO,BOULDER,188449998.24484217,"BOULDER COUNTY, CO",2006,"Boulder County, Colorado",
8,69,Colorado,Larimer County,280713,8069,CO,"LARIMER COUNTY, CO",8069,,,,CO,LARIMER,186955222.60407075,"LARIMER COUNTY, CO",2006,"Larimer County, Colorado",
12,5,Florida,Bay County,165644,12005,FL,"BAY COUNTY, FL",12005,21.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,FL,BAY,140632348.92533726,"BAY COUNTY, FL",2006,"Bay County, Florida",12.677790925116515
12,9,Florida,Brevard County,535138,12009,FL,"BREVARD COUNTY, FL",12009,81.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,FL,BREVARD,552568510.3586864,"BREVARD COUNTY, FL",2006,"Brevard County, Florida",15.136282603739597
12,15,Florida,Charlotte County,157099,12015,FL,"CHARLOTTE COUNTY, FL",12015,,,,FL,CHARLOTTE,190361049.4266464,"CHARLOTTE COUNTY, FL",2006,"Charlotte County, Florida",
12,19,Florida,Clay County,178339,12019,FL,"CLAY COUNTY, FL",12019,15.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,FL,CLAY,176869515.10200804,"CLAY COUNTY, FL",2006,"Clay County, Florida",8.41094768951267
12,21,Florida,Collier County,312621,12021,FL,"COLLIER COUNTY, FL",12021,43.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,FL,COLLIER,336245955.28211325,"COLLIER COUNTY, FL",2006,"Collier County, Florida",13.754674190153573
12,69,Florida,Lake County,281329,12069,FL,"LAKE COUNTY, FL",12069,16.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,FL,LAKE,168978406.97481486,"LAKE COUNTY, FL",2006,"Lake County, Florida",5.687291391929023
12,71,Florida,Lee County,582678,12071,FL,"LEE COUNTY, FL",12071,82.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,FL,LEE,819718005.8205515,"LEE COUNTY, FL",2006,"Lee County, Florida",14.07295281441894
12,81,Florida,Manatee County,313771,12081,FL,"MANATEE COUNTY, FL",12081,43.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,FL,MANATEE,472844161.360962,"MANATEE COUNTY, FL",2006,"Manatee County, Florida",13.704262025489927
12,91,Florida,Okaloosa County,184071,12091,FL,"OKALOOSA COUNTY, FL",12091,27.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,FL,OKALOOSA,144441373.25910076,"OKALOOSA COUNTY, FL",2006,"Okaloosa County, Florida",14.668253011066382
12,97,Florida,Osceola County,242081,12097,FL,"OSCEOLA COUNTY, FL",12097,13.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,FL,OSCEOLA,127389803.31149624,"OSCEOLA COUNTY, FL",2006,"Osceola County, Florida",5.3701033951446
12,115,Florida,Sarasota County,371361,12115,FL,"SARASOTA COUNTY, FL",12115,76.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,FL,SARASOTA,436639651.1967477,"SARASOTA COUNTY, FL",2006,"Sarasota County, Florida",20.46526156489238
12,117,Florida,Seminole County,413218,12117,FL,"SEMINOLE COUNTY, FL",12117,37.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,FL,SEMINOLE,388480768.614547,"SEMINOLE COUNTY, FL",2006,"Seminole County, Florida",8.954111389145682
13,21,Georgia,Bibb County,154510,13021,GA,"BIBB COUNTY, GA",13021,,,,GA,BIBB,206217651.02112475,"BIBB COUNTY, GA",2006,"Bibb County, Georgia",
13,51,Georgia,Chatham County,246896,13051,GA,"CHATHAM COUNTY, GA",13051,18.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,GA,CHATHAM,1597857271.4519446,"CHATHAM COUNTY, GA",2006,"Chatham County, Georgia",7.290519084958849
13,57,Georgia,Cherokee County,193241,13057,GA,"CHEROKEE COUNTY, GA",13057,12.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,GA,CHEROKEE,89605462.4521417,"CHEROKEE COUNTY, GA",2006,"Cherokee County, Georgia",6.20986229630358
16,1,Idaho,Ada County,363498,16001,ID,"ADA COUNTY, ID",16001,32.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,ID,ADA,261420269.01021776,"ADA COUNTY, ID",2006,"Ada County, Idaho",8.803349674551168
28,49,Mississippi,Hinds County,248989,28049,MS,"HINDS COUNTY, MS",28049,10.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,MS,HINDS,135488932.9486286,"HINDS COUNTY, MS",2006,"Hinds County, Mississippi",4.016241681359418
37,21,North Carolina,Buncombe County,226524,37021,NC,"BUNCOMBE COUNTY, NC",37021,22.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,NC,BUNCOMBE,408996421.0741076,"BUNCOMBE COUNTY, NC",2006,"Buncombe County, North Carolina",9.711995196976922
37,35,North Carolina,Catawba County,150449,37035,NC,"CATAWBA COUNTY, NC",37035,17.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,NC,CATAWBA,170711804.46378246,"CATAWBA COUNTY, NC",2006,"Catawba County, North Carolina",11.299510133001881
37,51,North Carolina,Cumberland County,307365,37051,NC,"CUMBERLAND COUNTY, NC",37051,24.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,NC,CUMBERLAND,220176982.04640248,"CUMBERLAND COUNTY, NC",2006,"Cumberland County, North Carolina",7.808306085598555
37,57,North Carolina,Davidson County,157209,37057,NC,"DAVIDSON COUNTY, NC",37057,28.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,NC,DAVIDSON,91341772.3020255,"DAVIDSON COUNTY, NC",2006,"Davidson County, North Carolina",17.81068513889154
37,67,North Carolina,Forsyth County,332110,37067,NC,"FORSYTH COUNTY, NC",37067,36.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,NC,FORSYTH,295848482.8306532,"FORSYTH COUNTY, NC",2006,"Forsyth County, North Carolina",10.83978199993978
37,71,North Carolina,Gaston County,196284,37071,NC,"GASTON COUNTY, NC",37071,32.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,NC,GASTON,214860991.223479,"GASTON COUNTY, NC",2006,"Gaston County, North Carolina",16.302908031220067
37,179,North Carolina,Union County,172529,37179,NC,"UNION COUNTY, NC",37179,20.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,NC,UNION,68956134.58341715,"UNION COUNTY, NC",2006,"Union County, North Carolina",11.592254055839888
41,29,Oregon,Jackson County,196858,41029,OR,"JACKSON COUNTY, OR",41029,31.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,OR,JACKSON,284307901.947537,"JACKSON COUNTY, OR",2006,"Jackson County, Oregon",15.747391520791636
41,47,Oregon,Marion County,303290,41047,OR,"MARION COUNTY, OR",41047,23.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,OR,MARION,306094085.7677876,"MARION COUNTY, OR",2006,"Marion County, Oregon",7.583500939694681
45,3,South Carolina,Aiken County,152577,45003,SC,"AIKEN COUNTY, SC",45003,25.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,SC,AIKEN,77335752.205575,"AIKEN COUNTY, SC",2006,"Aiken County, South Carolina",16.385169455422506
45,7,South Carolina,Anderson County,178579,45007,SC,"ANDERSON COUNTY, SC",45007,18.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,SC,ANDERSON,138670669.70409924,"ANDERSON COUNTY, SC",2006,"Anderson County, South Carolina",10.079572626120653
45,15,South Carolina,Berkeley County,159501,45015,SC,"BERKELEY COUNTY, SC",45015,12.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,SC,BERKELEY,54897545.44045475,"BERKELEY COUNTY, SC",2006,"Berkeley County, South Carolina",7.5234638027347795
45,51,South Carolina,Horry County,242194,45051,SC,"HORRY COUNTY, SC",45051,33.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,SC,HORRY,277967655.5601896,"HORRY COUNTY, SC",2006,"Horry County, South Carolina",13.625440762364056
45,91,South Carolina,York County,197892,45091,SC,"YORK COUNTY, SC",45091,15.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,SC,YORK,67047025.63868465,"YORK COUNTY, SC",2006,"York County, South Carolina",7.5798920623370325
47,125,Tennessee,Montgomery County,153054,47125,TN,"MONTGOMERY COUNTY, TN",47125,,,,TN,MONTGOMERY,77017568.5182921,"MONTGOMERY COUNTY, TN",2006,"Montgomery County, Tennessee",
47,187,Tennessee,Williamson County,161902,47187,TN,"WILLIAMSON COUNTY, TN",47187,,,,TN,WILLIAMSON,99547689.77251524,"WILLIAMSON COUNTY, TN",2006,"Williamson County, Tennessee",
53,5,Washington,Benton County,159564,53005,WA,"BENTON COUNTY, WA",53005,16.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,WA,BENTON,143885738.214099,"BENTON COUNTY, WA",2006,"Benton County, Washington",10.027324459151187
53,35,Washington,Kitsap County,245054,53035,WA,"KITSAP COUNTY, WA",53035,14.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,WA,KITSAP,192526022.60704,"KITSAP COUNTY, WA",2006,"Kitsap County, Washington",5.713026516604503
53,67,Washington,Thurston County,232688,53067,WA,"THURSTON COUNTY, WA",53067,20.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,WA,THURSTON,186336180.4835966,"THURSTON COUNTY, WA",2006,"Thurston County, Washington",8.595200440074262
53,73,Washington,Whatcom County,188926,53073,WA,"WHATCOM COUNTY, WA",53073,22.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,WA,WHATCOM,135537309.3410845,"WHATCOM COUNTY, WA",2006,"Whatcom County, Washington",11.644770968527359
53,77,Washington,Yakima County,230617,53077,WA,"YAKIMA COUNTY, WA",53077,12.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,WA,YAKIMA,144352363.0338771,"YAKIMA COUNTY, WA",2006,"Yakima County, Washington",5.203432530992945
6,7,California,Butte County,217469,6007,CA,"BUTTE COUNTY, CA",6007,,,,CA,BUTTE,463361851.670615,"BUTTE COUNTY, CA",2007,"Butte County, California",
6,17,California,El Dorado County,177694,6017,CA,"EL DORADO COUNTY, CA",6017,,,,CA,EL DORADO,156283704.4922582,"EL DORADO COUNTY, CA",2007,"El Dorado County, California",
6,19,California,Fresno County,895933,6019,CA,"FRESNO COUNTY, CA",6019,,,,CA,FRESNO,706788543.92528,"FRESNO COUNTY, CA",2007,"Fresno County, California",
6,25,California,Imperial County,164596,6025,CA,"IMPERIAL COUNTY, CA",6025,,,,CA,IMPERIAL,62991766.871559,"IMPERIAL COUNTY, CA",2007,"Imperial County, California",
6,47,California,Merced County,248540,6047,CA,"MERCED COUNTY, CA",6047,,,,CA,MERCED,126919772.85110486,"MERCED COUNTY, CA",2007,"Merced County, California",
6,53,California,Monterey County,402376,6053,CA,"MONTEREY COUNTY, CA",6053,,,,CA,MONTEREY,258166546.6917415,"MONTEREY COUNTY, CA",2007,"Monterey County, California",
6,61,California,Placer County,329023,6061,CA,"PLACER COUNTY, CA",6061,,,,CA,PLACER,500536374.3789572,"PLACER COUNTY, CA",2007,"Placer County, California",
6,83,California,Santa Barbara County,411243,6083,CA,"SANTA BARBARA COUNTY, CA",6083,,,,CA,SANTA BARBARA,395308590.14261055,"SANTA BARBARA COUNTY, CA",2007,"Santa Barbara County, California",
6,87,California,Santa Cruz County,253304,6087,CA,"SANTA CRUZ COUNTY, CA",6087,,,,CA,SANTA CRUZ,262997280.4319915,"SANTA CRUZ COUNTY, CA",2007,"Santa Cruz County, California",
6,89,California,Shasta County,176548,6089,CA,"SHASTA COUNTY, CA",6089,,,,CA,SHASTA,360103149.2798655,"SHASTA COUNTY, CA",2007,"Shasta County, California",
6,99,California,Stanislaus County,507834,6099,CA,"STANISLAUS COUNTY, CA",6099,,,,CA,STANISLAUS,637121628.5087299,"STANISLAUS COUNTY, CA",2007,"Stanislaus County, California",
8,13,Colorado,Boulder County,287428,8013,CO,"BOULDER COUNTY, CO",8013,,,,CO,BOULDER,208846118.461637,"BOULDER COUNTY, CO",2007,"Boulder County, Colorado",
8,69,Colorado,Larimer County,286112,8069,CO,"LARIMER COUNTY, CO",8069,,,,CO,LARIMER,221943181.54365,"LARIMER COUNTY, CO",2007,"Larimer County, Colorado",
8,123,Colorado,Weld County,237692,8123,CO,"WELD COUNTY, CO",8123,,,,CO,WELD,112159079.62531824,"WELD COUNTY, CO",2007,"Weld County, Colorado",
12,5,Florida,Bay County,165345,12005,FL,"BAY COUNTY, FL",12005,30.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,FL,BAY,127025079.72241484,"BAY COUNTY, FL",2007,"Bay County, Florida",18.143880976140796
12,9,Florida,Brevard County,539719,12009,FL,"BREVARD COUNTY, FL",12009,84.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,FL,BREVARD,666783721.8124007,"BREVARD COUNTY, FL",2007,"Brevard County, Florida",15.563654420170495
12,15,Florida,Charlotte County,159742,12015,FL,"CHARLOTTE COUNTY, FL",12015,,,,FL,CHARLOTTE,216554271.57430977,"CHARLOTTE COUNTY, FL",2007,"Charlotte County, Florida",
12,19,Florida,Clay County,184256,12019,FL,"CLAY COUNTY, FL",12019,26.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,FL,CLAY,209130576.37535876,"CLAY COUNTY, FL",2007,"Clay County, Florida",14.110802361931226
12,21,Florida,Collier County,314437,12021,FL,"COLLIER COUNTY, FL",12021,38.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,FL,COLLIER,379077397.3514764,"COLLIER COUNTY, FL",2007,"Collier County, Florida",12.085091767190248
12,33,Florida,Escambia County,297393,12033,FL,"ESCAMBIA COUNTY, FL",12033,31.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,FL,ESCAMBIA,310768985.57272273,"ESCAMBIA COUNTY, FL",2007,"Escambia County, Florida",10.423917173571672
12,69,Florida,Lake County,289909,12069,FL,"LAKE COUNTY, FL",12069,20.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,FL,LAKE,187191512.783208,"LAKE COUNTY, FL",2007,"Lake County, Florida",6.8987164937963295
12,81,Florida,Manatee County,316410,12081,FL,"MANATEE COUNTY, FL",12081,46.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,FL,MANATEE,484449146.5424139,"MANATEE COUNTY, FL",2007,"Manatee County, Florida",14.538099301539143
12,91,Florida,Okaloosa County,182677,12091,FL,"OKALOOSA COUNTY, FL",12091,29.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,FL,OKALOOSA,148883241.23368764,"OKALOOSA COUNTY, FL",2007,"Okaloosa County, Florida",15.875014369625076
12,97,Florida,Osceola County,253722,12097,FL,"OSCEOLA COUNTY, FL",12097,26.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,FL,OSCEOLA,146396644.29351965,"OSCEOLA COUNTY, FL",2007,"Osceola County, Florida",10.247436170296623
12,115,Florida,Sarasota County,375325,12115,FL,"SARASOTA COUNTY, FL",12115,65.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,FL,SARASOTA,561466300.45962,"SARASOTA COUNTY, FL",2007,"Sarasota County, Florida",17.318324119096783
12,117,Florida,Seminole County,413571,12117,FL,"SEMINOLE COUNTY, FL",12117,37.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,FL,SEMINOLE,630628530.3481561,"SEMINOLE COUNTY, FL",2007,"Seminole County, Florida",8.946468683732661
13,21,Georgia,Bibb County,154286,13021,GA,"BIBB COUNTY, GA",13021,12.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,GA,BIBB,224416248.80281937,"BIBB COUNTY, GA",2007,"Bibb County, Georgia",7.7777633745122685
13,51,Georgia,Chatham County,251981,13051,GA,"CHATHAM COUNTY, GA",13051,26.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,GA,CHATHAM,782867796.5418599,"CHATHAM COUNTY, GA",2007,"Chatham County, Georgia",10.318238279870307
13,57,Georgia,Cherokee County,202544,13057,GA,"CHEROKEE COUNTY, GA",13057,22.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,GA,CHEROKEE,110916883.8491614,"CHEROKEE COUNTY, GA",2007,"Cherokee County, Georgia",10.861837427916898
13,117,Georgia,Forsyth County,157129,13117,GA,"FORSYTH COUNTY, GA",13117,15.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,GA,FORSYTH,68999601.9597535,"FORSYTH COUNTY, GA",2007,"Forsyth County, Georgia",9.546296355224053
16,1,Idaho,Ada County,375368,16001,ID,"ADA COUNTY, ID",16001,32.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,ID,ADA,299231177.87096316,"ADA COUNTY, ID",2007,"Ada County, Idaho",8.524967498561411
28,49,Mississippi,Hinds County,246546,28049,MS,"HINDS COUNTY, MS",28049,,,,MS,HINDS,167761320.30342093,"HINDS COUNTY, MS",2007,"Hinds County, Mississippi",
37,21,North Carolina,Buncombe County,230766,37021,NC,"BUNCOMBE COUNTY, NC",37021,27.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,NC,BUNCOMBE,433143770.0708633,"BUNCOMBE COUNTY, NC",2007,"Buncombe County, North Carolina",11.700163802293233
37,35,North Carolina,Catawba County,152448,37035,NC,"CATAWBA COUNTY, NC",37035,29.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,NC,CATAWBA,184208093.866449,"CATAWBA COUNTY, NC",2007,"Catawba County, North Carolina",19.022879932829554
37,51,North Carolina,Cumberland County,308284,37051,NC,"CUMBERLAND COUNTY, NC",37051,20.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,NC,CUMBERLAND,237552132.7743075,"CUMBERLAND COUNTY, NC",2007,"Cumberland County, North Carolina",6.487524490404952
37,57,North Carolina,Davidson County,159126,37057,NC,"DAVIDSON COUNTY, NC",37057,19.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,NC,DAVIDSON,98710027.056083,"DAVIDSON COUNTY, NC",2007,"Davidson County, North Carolina",11.940223470708748
37,67,North Carolina,Forsyth County,338638,37067,NC,"FORSYTH COUNTY, NC",37067,28.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,NC,FORSYTH,353881890.2522627,"FORSYTH COUNTY, NC",2007,"Forsyth County, North Carolina",8.268416421075012
37,71,North Carolina,Gaston County,200377,37071,NC,"GASTON COUNTY, NC",37071,39.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,NC,GASTON,245776317.37160525,"GASTON COUNTY, NC",2007,"Gaston County, North Carolina",19.463311657525566
37,97,North Carolina,Iredell County,151944,37097,NC,"IREDELL COUNTY, NC",37097,22.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,NC,IREDELL,205620939.4747503,"IREDELL COUNTY, NC",2007,"Iredell County, North Carolina",14.479018585794766
37,101,North Carolina,Johnston County,155695,37101,NC,"JOHNSTON COUNTY, NC",37101,,,,NC,JOHNSTON,75330846.37960525,"JOHNSTON COUNTY, NC",2007,"Johnston County, North Carolina",
37,179,North Carolina,Union County,184782,37179,NC,"UNION COUNTY, NC",37179,,,,NC,UNION,83391490.2155291,"UNION COUNTY, NC",2007,"Union County, North Carolina",
41,17,Oregon,Deschutes County,152633,41017,OR,"DESCHUTES COUNTY, OR",41017,,,,OR,DESCHUTES,104745298.9533925,"DESCHUTES COUNTY, OR",2007,"Deschutes County, Oregon",
41,29,Oregon,Jackson County,199152,41029,OR,"JACKSON COUNTY, OR",41029,10.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,OR,JACKSON,338696598.8293935,"JACKSON COUNTY, OR",2007,"Jackson County, Oregon",5.021290270747971
41,39,Oregon,Lane County,344844,41039,OR,"LANE COUNTY, OR",41039,35.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,OR,LANE,454446874.2202726,"LANE COUNTY, OR",2007,"Lane County, Oregon",10.14951688299637
41,47,Oregon,Marion County,306964,41047,OR,"MARION COUNTY, OR",41047,29.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,OR,MARION,320788677.1665942,"MARION COUNTY, OR",2007,"Marion County, Oregon",9.447361905630627
45,3,South Carolina,Aiken County,154814,45003,SC,"AIKEN COUNTY, SC",45003,19.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,SC,AIKEN,90166747.01544672,"AIKEN COUNTY, SC",2007,"Aiken County, South Carolina",12.272791866368676
45,15,South Carolina,Berkeley County,164913,45015,SC,"BERKELEY COUNTY, SC",45015,11.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,SC,BERKELEY,65761992.0565537,"BERKELEY COUNTY, SC",2007,"Berkeley County, South Carolina",6.67018367260313
45,51,South Carolina,Horry County,252464,45051,SC,"HORRY COUNTY, SC",45051,29.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,SC,HORRY,311291846.534129,"HORRY COUNTY, SC",2007,"Horry County, South Carolina",11.48678623486913
45,91,South Carolina,York County,208640,45091,SC,"YORK COUNTY, SC",45091,16.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,SC,YORK,81777238.43423724,"YORK COUNTY, SC",2007,"York County, South Carolina",7.668711656441718
47,125,Tennessee,Montgomery County,160642,47125,TN,"MONTGOMERY COUNTY, TN",47125,15.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,TN,MONTGOMERY,85125960.57011256,"MONTGOMERY COUNTY, TN",2007,"Montgomery County, Tennessee",9.337533148242676
47,165,Tennessee,Sumner County,152949,47165,TN,"SUMNER COUNTY, TN",47165,,,,TN,SUMNER,106028966.54632674,"SUMNER COUNTY, TN",2007,"Sumner County, Tennessee",
47,187,Tennessee,Williamson County,169534,47187,TN,"WILLIAMSON COUNTY, TN",47187,,,,TN,WILLIAMSON,118653238.41719066,"WILLIAMSON COUNTY, TN",2007,"Williamson County, Tennessee",
53,35,Washington,Kitsap County,244105,53035,WA,"KITSAP COUNTY, WA",53035,23.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,WA,KITSAP,236512493.61592063,"KITSAP COUNTY, WA",2007,"Kitsap County, Washington",9.422174883759038
53,67,Washington,Thurston County,237772,53067,WA,"THURSTON COUNTY, WA",53067,20.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,WA,THURSTON,202812003.52016512,"THURSTON COUNTY, WA",2007,"Thurston County, Washington",8.41141934289992
53,73,Washington,Whatcom County,192837,53073,WA,"WHATCOM COUNTY, WA",53073,12.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,WA,WHATCOM,169785996.3912955,"WHATCOM COUNTY, WA",2007,"Whatcom County, Washington",6.222872166648517
53,77,Washington,Yakima County,232733,53077,WA,"YAKIMA COUNTY, WA",53077,24.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,WA,YAKIMA,157816756.62065974,"YAKIMA COUNTY, WA",2007,"Yakima County, Washington",10.312246222065628
6,7,California,Butte County,219034,6007,CA,"BUTTE COUNTY, CA",6007,,,,CA,BUTTE,573019437.8484399,"BUTTE COUNTY, CA",2008,"Butte County, California",
6,17,California,El Dorado County,179150,6017,CA,"EL DORADO COUNTY, CA",6017,,,,CA,EL DORADO,172253316.40103945,"EL DORADO COUNTY, CA",2008,"El Dorado County, California",
6,19,California,Fresno County,909630,6019,CA,"FRESNO COUNTY, CA",6019,,,,CA,FRESNO,733428415.466597,"FRESNO COUNTY, CA",2008,"Fresno County, California",
6,25,California,Imperial County,167917,6025,CA,"IMPERIAL COUNTY, CA",6025,,,,CA,IMPERIAL,78256957.2310915,"IMPERIAL COUNTY, CA",2008,"Imperial County, California",
6,47,California,Merced County,250538,6047,CA,"MERCED COUNTY, CA",6047,,,,CA,MERCED,137765785.65517625,"MERCED COUNTY, CA",2008,"Merced County, California",
6,53,California,Monterey County,406022,6053,CA,"MONTEREY COUNTY, CA",6053,,,,CA,MONTEREY,275678232.26405567,"MONTEREY COUNTY, CA",2008,"Monterey County, California",
6,61,California,Placer County,337568,6061,CA,"PLACER COUNTY, CA",6061,,,,CA,PLACER,505133911.02568847,"PLACER COUNTY, CA",2008,"Placer County, California",
6,83,California,Santa Barbara County,415859,6083,CA,"SANTA BARBARA COUNTY, CA",6083,,,,CA,SANTA BARBARA,430464331.19370097,"SANTA BARBARA COUNTY, CA",2008,"Santa Barbara County, California",
6,97,California,Sonoma County,473091,6097,CA,"SONOMA COUNTY, CA",6097,,,,CA,SONOMA,567563049.9464562,"SONOMA COUNTY, CA",2008,"Sonoma County, California",
6,99,California,Stanislaus County,509032,6099,CA,"STANISLAUS COUNTY, CA",6099,,,,CA,STANISLAUS,666738243.3788425,"STANISLAUS COUNTY, CA",2008,"Stanislaus County, California",
8,13,Colorado,Boulder County,290859,8013,CO,"BOULDER COUNTY, CO",8013,,,,CO,BOULDER,240635205.16475457,"BOULDER COUNTY, CO",2008,"Boulder County, Colorado",
8,101,Colorado,Pueblo County,156748,8101,CO,"PUEBLO COUNTY, CO",8101,,,,CO,PUEBLO,234344628.67342144,"PUEBLO COUNTY, CO",2008,"Pueblo County, Colorado",
8,123,Colorado,Weld County,243442,8123,CO,"WELD COUNTY, CO",8123,,,,CO,WELD,131238816.03101563,"WELD COUNTY, CO",2008,"Weld County, Colorado",
