BUYER_STATE,BUYER_COUNTY,YEAR,TOTAL_MME,BUYER_BUS_ACT,unique_buyers
CA,ALAMEDA,2018,8949404816.797968,"ANALYTICAL LAB,CHAIN PHARMACY,CHEMPACK/SNS DISTRIBUTOR,DISTRIBUTOR,HOSP/CLINIC FED,HOSP/CLINIC- MIL,HOSP/CLINIC-VA,HOSPITAL/CLINIC,MAINT & DETOX,MAINTENANCE,MANUFACTURER,MLP-NURSE PRACTITIONER,PRACTITIONER,RESEARCHER (II-V),RETAIL PHARMACY",2138
CA,ALAMEDA,2019,5079400264.341556,"ANALYTICAL LAB,CHAIN PHARMACY,CHEMPACK/SNS DISTRIBUTOR,DISTRIBUTOR,HOSP/CLINIC FED,HOSP/CLINIC- MIL,HOSP/CLINIC-VA,HOSPITAL/CLINIC,MAINT & DETOX,MAINTENANCE,MANUFACTURER,MLP-NURSE PRACTITIONER,PRACTITIONER,RESEARCHER (II-V),RETAIL PHARMACY",2544
CA,ALPINE,2006,454.05,PRACTITIONER,1
CA,ALPINE,2008,605.4000000000001,PRACTITIONER,1
CA,ALPINE,2009,11386.9686,PRACTITIONER,7
CA,ALPINE,2010,9570.7686,PRACTITIONER,4
CA,ALPINE,2011,1887.6372000000001,PRACTITIONER,3
CA,ALPINE,2012,302.70000000000005,PRACTITIONER,1
CA,ALPINE,2015,998.16,PRACTITIONER,4
CA,ALPINE,2016,55.04,PRACTITIONER,2
CA,AMADOR,2006,44730080.5683165,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,RETAIL PHARMACY",570
CA,AMADOR,2007,50602004.2534735,"CHAIN PHARMACY,HOSPITAL/CLINIC,MLP-NURSE PRACTITIONER,PRACTITIONER,PRACTITIONER-DW/30,RETAIL PHARMACY",579
CA,AMADOR,2008,56917229.868967496,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,PRACTITIONER-DW/30,RETAIL PHARMACY",621
CA,AMADOR,2009,65017808.4693485,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,PRACTITIONER-DW/100,RETAIL PHARMACY",625
CA,AMADOR,2010,66922507.14123,"CHAIN PHARMACY,HOSPITAL/CLINIC,MLP-NURSE PRACTITIONER,PRACTITIONER,PRACTITIONER-DW/100,PRACTITIONER-DW/30,RETAIL PHARMACY",637
CA,AMADOR,2011,67268677.2601875,"CHAIN PHARMACY,HOSPITAL/CLINIC,MLP-NURSE PRACTITIONER,PRACTITIONER,PRACTITIONER-DW/30,RETAIL PHARMACY",575
CA,AMADOR,2012,70978134.010328,"CHAIN PHARMACY,HOSPITAL/CLINIC,MLP-NURSE PRACTITIONER,PRACTITIONER,PRACTITIONER-DW/30,RETAIL PHARMACY",589
CA,AMADOR,2013,67894828.854252,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,RETAIL PHARMACY",576
CA,AMADOR,2014,68816917.2334615,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,RETAIL PHARMACY",578
CA,AMADOR,2015,65960314.141439,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,RETAIL PHARMACY",150
CA,AMADOR,2016,60109872.28456099,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,RETAIL PHARMACY",146
CA,AMADOR,2017,51987861.220052496,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,RETAIL PHARMACY",183
CA,AMADOR,2018,49718301.005312994,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,RETAIL PHARMACY",139
CA,AMADOR,2019,46022172.36489549,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,RETAIL PHARMACY",178
CA,BUTTE,2006,410921639.534783,"CHAIN PHARMACY,HOSP/CLINIC-VA,HOSPITAL/CLINIC,MAINT & DETOX,PRACTITIONER,PRACTITIONER-DW/100,PRACTITIONER-DW/30,RETAIL PHARMACY",2409
CA,BUTTE,2007,463361851.670615,"CHAIN PHARMACY,HOSP/CLINIC-VA,HOSPITAL/CLINIC,MAINT & DETOX,PRACTITIONER,PRACTITIONER-DW/100,RETAIL PHARMACY",2442
CA,BUTTE,2008,573019437.8484399,"CHAIN PHARMACY,HOSP/CLINIC-VA,HOSPITAL/CLINIC,MAINT & DETOX,PRACTITIONER,PRACTITIONER-DW/100,PRACTITIONER-DW/275,PRACTITIONER-DW/30,RETAIL PHARMACY",2443
CA,BUTTE,2009,540164961.2187815,"ANALYTICAL LAB,CHAIN PHARMACY,HOSP/CLINIC-VA,HOSPITAL/CLINIC,MAINT & DETOX,MLP-PHYSICIAN ASSISTANT,PRACTITIONER,PRACTITIONER-DW/100,PRACTITIONER-DW/275,PRACTITIONER-DW/30,RETAIL PHARMACY,REVERSE DISTRIB",2337
CA,BUTTE,2010,573201805.7855765,"CHAIN PHARMACY,HOSP/CLINIC-VA,HOSPITAL/CLINIC,MAINT & DETOX,MLP-PHYSICIAN ASSISTANT,PRACTITIONER,PRACTITIONER-DW/100,PRACTITIONER-DW/275,RETAIL PHARMACY,REVERSE DISTRIB",2296
CA,BUTTE,2011,557380720.2352935,"ANALYTICAL LAB,CHAIN PHARMACY,HOSP/CLINIC-VA,HOSPITAL/CLINIC,MAINT & DETOX,MLP-PHYSICIAN ASSISTANT,PRACTITIONER,PRACTITIONER-DW/275,RETAIL PHARMACY,REVERSE DISTRIB",2389
CA,BUTTE,2012,512621365.3330895,"CHAIN PHARMACY,HOSP/CLINIC-VA,HOSPITAL/CLINIC,MAINT & DETOX,PRACTITIONER,PRACTITIONER-DW/275,RETAIL PHARMACY,REVERSE DISTRIB",2430
CA,BUTTE,2013,490077575.4384725,"CHAIN PHARMACY,HOSP/CLINIC-VA,HOSPITAL/CLINIC,MAINT & DETOX,PRACTITIONER,RETAIL PHARMACY,REVERSE DISTRIB,TEACHING INSTITUTION",2393
CA,BUTTE,2014,468610239.9973915,"CHAIN PHARMACY,HOSP/CLINIC-VA,HOSPITAL/CLINIC,MAINT & DETOX,PRACTITIONER,PRACTITIONER-DW/30,RETAIL PHARMACY,REVERSE DISTRIB",2292
CA,BUTTE,2015,460835712.39348894,"CHAIN PHARMACY,HOSP/CLINIC-VA,HOSPITAL/CLINIC,MAINT & DETOX,PRACTITIONER,PRACTITIONER-DW/100,RETAIL PHARMACY,REVERSE DISTRIB",580
CA,BUTTE,2016,417943555.0453357,"CHAIN PHARMACY,HOSP/CLINIC-VA,HOSPITAL/CLINIC,MAINT & DETOX,PRACTITIONER,PRACTITIONER-DW/100,RETAIL PHARMACY,REVERSE DISTRIB",533
CA,BUTTE,2017,371391852.246023,"CHAIN PHARMACY,HOSP/CLINIC-VA,HOSPITAL/CLINIC,MAINT & DETOX,PRACTITIONER,PRACTITIONER-DW/100,RETAIL PHARMACY,REVERSE DISTRIB",623
CA,BUTTE,2018,322727426.142305,"CHAIN PHARMACY,HOSP/CLINIC-VA,HOSPITAL/CLINIC,MAINT & DETOX,PRACTITIONER,PRACTITIONER-DW/100,RETAIL PHARMACY,REVERSE DISTRIB",483
CA,BUTTE,2019,290163257.3786961,"ANALYTICAL LAB,CHAIN PHARMACY,HOSP/CLINIC-VA,HOSPITAL/CLINIC,MAINT & DETOX,PRACTITIONER,RETAIL PHARMACY,REVERSE DISTRIB",567
CA,CALAVERAS,2006,43585872.915338,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,RETAIL PHARMACY",417
CA,CALAVERAS,2007,50815388.124818504,"CHAIN PHARMACY,HOSPITAL/CLINIC,MLP-PHYSICIAN ASSISTANT,PRACTITIONER,PRACTITIONER-DW/30,RETAIL PHARMACY",397
CA,CALAVERAS,2008,55644658.2026955,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,RETAIL PHARMACY",439
CA,CALAVERAS,2009,62169983.0963965,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,RETAIL PHARMACY",476
CA,CALAVERAS,2010,71705313.079408,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,PRACTITIONER-DW/30,RETAIL PHARMACY",428
CA,CALAVERAS,2011,74013399.5388715,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,RETAIL PHARMACY",422
CA,CALAVERAS,2012,70741206.54395,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,RETAIL PHARMACY",512
CA,CALAVERAS,2013,67431689.0582285,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,RETAIL PHARMACY",470
CA,CALAVERAS,2014,71120669.698731,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,RETAIL PHARMACY",525
CA,CALAVERAS,2015,63269247.237484,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,RETAIL PHARMACY",100
CA,CALAVERAS,2016,54391561.379613996,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,RETAIL PHARMACY",111
CA,CALAVERAS,2017,50450569.565469,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,RETAIL PHARMACY",137
CA,CALAVERAS,2018,32458496.271066997,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,RETAIL PHARMACY",82
CA,CALAVERAS,2019,25133140.001728,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,RETAIL PHARMACY",93
CA,COLUSA,2006,18504816.793673,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,RETAIL PHARMACY",219
CA,COLUSA,2007,18217152.8462955,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,RETAIL PHARMACY",216
CA,COLUSA,2008,18868682.0110345,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,RETAIL PHARMACY",213
CA,COLUSA,2009,20722818.0956745,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,RETAIL PHARMACY",205
CA,COLUSA,2010,25197523.75351,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,RETAIL PHARMACY",213
CA,COLUSA,2011,26593558.3393345,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,RETAIL PHARMACY",211
CA,COLUSA,2012,29559688.390469,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,RETAIL PHARMACY",207
CA,COLUSA,2013,24927455.593408998,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,RETAIL PHARMACY",221
CA,COLUSA,2014,16914491.803966,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,RETAIL PHARMACY",208
CA,COLUSA,2015,16185952.288486999,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,RETAIL PHARMACY",40
CA,COLUSA,2016,12984760.480506998,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,RETAIL PHARMACY",36
CA,COLUSA,2017,8062910.516561999,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,RETAIL PHARMACY",40
CA,COLUSA,2018,6970289.942450999,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,RETAIL PHARMACY",38
CA,COLUSA,2019,6669510.762457999,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,RETAIL PHARMACY",43
CA,CONTRA COSTA,2006,707803745.9099158,"ANALYTICAL LAB,CHAIN PHARMACY,DETOXIFICATION,HOSP/CLINIC-VA,HOSPITAL/CLINIC,MAINT & DETOX,MAINTENANCE,PRACTITIONER,PRACTITIONER-DW/100,PRACTITIONER-DW/275,PRACTITIONER-DW/30,RETAIL PHARMACY",7675
CA,CONTRA COSTA,2007,793611666.8392344,"ANALYTICAL LAB,CHAIN PHARMACY,DETOXIFICATION,HOSP/CLINIC-VA,HOSPITAL/CLINIC,MAINT & DETOX,MAINTENANCE,MLP-OPTOMETRIST,MLP-PHYSICIAN ASSISTANT,PRACTITIONER,PRACTITIONER-DW/100,PRACTITIONER-DW/275,PRACTITIONER-DW/30,RETAIL PHARMACY",8049
CA,CONTRA COSTA,2008,834630774.5100571,"ANALYTICAL LAB,CHAIN PHARMACY,DETOXIFICATION,HOSP/CLINIC-VA,HOSPITAL/CLINIC,MAINT & DETOX,MAINTENANCE,MLP-PHYSICIAN ASSISTANT,PRACTITIONER,PRACTITIONER-DW/100,PRACTITIONER-DW/275,PRACTITIONER-DW/30,RETAIL PHARMACY",8088
CA,CONTRA COSTA,2009,905146610.4578183,"ANALYTICAL LAB,CHAIN PHARMACY,DETOXIFICATION,HOSP/CLINIC-VA,HOSPITAL/CLINIC,MAINT & DETOX,MAINTENANCE,MLP-PHYSICIAN ASSISTANT,PRACTITIONER,PRACTITIONER-DW/100,PRACTITIONER-DW/275,PRACTITIONER-DW/30,RETAIL PHARMACY",6485
CA,CONTRA COSTA,2010,1018060014.0678662,"ANALYTICAL LAB,CHAIN PHARMACY,DETOXIFICATION,HOSP/CLINIC-VA,HOSPITAL/CLINIC,MAINT & DETOX,MAINTENANCE,PRACTITIONER,PRACTITIONER-DW/100,PRACTITIONER-DW/275,PRACTITIONER-DW/30,RETAIL PHARMACY",6361
CA,CONTRA COSTA,2011,1012498461.3377525,"ANALYTICAL LAB,CHAIN PHARMACY,DETOXIFICATION,HOSP/CLINIC-VA,HOSPITAL/CLINIC,MAINT & DETOX,MAINTENANCE,MLP-NURSE PRACTITIONER,MLP-PHYSICIAN ASSISTANT,PRACTITIONER,PRACTITIONER-DW/100,PRACTITIONER-DW/275,PRACTITIONER-DW/30,RETAIL PHARMACY",6165
CA,CONTRA COSTA,2012,1065297850.1553105,"ANALYTICAL LAB,CHAIN PHARMACY,DETOXIFICATION,HOSP/CLINIC-VA,HOSPITAL/CLINIC,MAINT & DETOX,MAINTENANCE,MANUFACTURER,MLP-PHYSICIAN ASSISTANT,PRACTITIONER,PRACTITIONER-DW/100,PRACTITIONER-DW/275,PRACTITIONER-DW/30,RETAIL PHARMACY",6136
CA,CONTRA COSTA,2013,1033669021.5090235,"ANALYTICAL LAB,CHAIN PHARMACY,DETOXIFICATION,HOSP/CLINIC-VA,HOSPITAL/CLINIC,MAINT & DETOX,MAINTENANCE,MLP-PHYSICIAN ASSISTANT,PRACTITIONER,PRACTITIONER-DW/100,PRACTITIONER-DW/275,PRACTITIONER-DW/30,RETAIL PHARMACY",6411
CA,CONTRA COSTA,2014,1021853409.6625174,"ANALYTICAL LAB,CHAIN PHARMACY,DETOXIFICATION,HOSP/CLINIC-VA,HOSPITAL/CLINIC,MAINT & DETOX,MAINTENANCE,MLP-PHYSICIAN ASSISTANT,PRACTITIONER,PRACTITIONER-DW/100,PRACTITIONER-DW/275,PRACTITIONER-DW/30,RETAIL PHARMACY",6035
CA,CONTRA COSTA,2015,1026044790.6079464,"ANALYTICAL LAB,CHAIN PHARMACY,DETOXIFICATION,HOSP/CLINIC-VA,HOSPITAL/CLINIC,MAINT & DETOX,MAINTENANCE,MLP-NURSE PRACTITIONER,PRACTITIONER,RETAIL PHARMACY",1715
CA,CONTRA COSTA,2016,923795584.0792347,"ANALYTICAL LAB,CHAIN PHARMACY,DETOXIFICATION,HOSP/CLINIC-VA,HOSPITAL/CLINIC,MAINT & DETOX,MAINTENANCE,MLP-PHYSICIAN ASSISTANT,PRACTITIONER,RETAIL PHARMACY",1679
CA,CONTRA COSTA,2017,826084269.8584883,"ANALYTICAL LAB,CHAIN PHARMACY,DETOXIFICATION,HOSP/CLINIC-VA,HOSPITAL/CLINIC,MAINT & DETOX,MAINTENANCE,MLP-NURSE PRACTITIONER,MLP-PHYSICIAN ASSISTANT,PRACTITIONER,RETAIL PHARMACY",1952
CA,CONTRA COSTA,2018,749104566.8596025,"ANALYTICAL LAB,CHAIN PHARMACY,DETOXIFICATION,HOSP/CLINIC-VA,HOSPITAL/CLINIC,MAINT & DETOX,MAINTENANCE,MLP-NURSE PRACTITIONER,PRACTITIONER,RETAIL PHARMACY",1567
CA,CONTRA COSTA,2019,713577290.3478379,"ANALYTICAL LAB,CHAIN PHARMACY,DETOXIFICATION,HOSP/CLINIC-VA,HOSPITAL/CLINIC,MAINT & DETOX,MAINTENANCE,PRACTITIONER,RETAIL PHARMACY",1840
CA,DEL NORTE,2006,41142051.9261885,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,PRACTITIONER-DW/30,RETAIL PHARMACY",402
CA,DEL NORTE,2007,46596133.4571605,"CHAIN PHARMACY,HOSPITAL/CLINIC,MLP-PHYSICIAN ASSISTANT,PRACTITIONER,PRACTITIONER-DW/30,RETAIL PHARMACY",386
CA,DEL NORTE,2008,50829218.497664995,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,PRACTITIONER-DW/30,RETAIL PHARMACY",481
CA,DEL NORTE,2009,54899206.570229,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,PRACTITIONER-DW/100,PRACTITIONER-DW/275,PRACTITIONER-DW/30,RETAIL PHARMACY",373
CA,DEL NORTE,2010,63576577.364021,"CHAIN PHARMACY,HOSPITAL/CLINIC,MLP-PHYSICIAN ASSISTANT,PRACTITIONER,PRACTITIONER-DW/100,PRACTITIONER-DW/275,PRACTITIONER-DW/30,RETAIL PHARMACY",376
CA,DEL NORTE,2011,66788468.448699996,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,PRACTITIONER-DW/30,RETAIL PHARMACY",349
CA,DEL NORTE,2012,66582710.3201215,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,PRACTITIONER-DW/30,RETAIL PHARMACY",376
CA,DEL NORTE,2013,54363047.086674,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,PRACTITIONER-DW/30,RETAIL PHARMACY",387
CA,DEL NORTE,2014,56414205.519039,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,PRACTITIONER-DW/275,RETAIL PHARMACY",398
CA,DEL NORTE,2015,55778062.8797785,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,RETAIL PHARMACY",74
CA,DEL NORTE,2016,55153499.480973,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,RETAIL PHARMACY",69
CA,DEL NORTE,2017,55098285.592391,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,RETAIL PHARMACY",95
CA,DEL NORTE,2018,50042889.001628,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,RETAIL PHARMACY",81
CA,DEL NORTE,2019,52004372.253344,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,RETAIL PHARMACY",104
CA,EL DORADO,2006,132207270.6900995,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,PRACTITIONER-DW/100,PRACTITIONER-DW/30,RETAIL PHARMACY",1474
CA,EL DORADO,2007,156283704.4922582,"CHAIN PHARMACY,HOSPITAL/CLINIC,MLP-NURSE PRACTITIONER,PRACTITIONER,PRACTITIONER-DW/100,PRACTITIONER-DW/30,RETAIL PHARMACY",1490
CA,EL DORADO,2008,172253316.40103945,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,PRACTITIONER-DW/100,PRACTITIONER-DW/30,RETAIL PHARMACY",1583
CA,EL DORADO,2009,184652001.714393,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,PRACTITIONER-DW/100,PRACTITIONER-DW/30,RETAIL PHARMACY",1325
CA,EL DORADO,2010,193033230.442184,"CHAIN PHARMACY,HOSPITAL/CLINIC,MLP-PHYSICIAN ASSISTANT,PRACTITIONER,PRACTITIONER-DW/100,PRACTITIONER-DW/30,RETAIL PHARMACY",1331
CA,EL DORADO,2011,181942173.9217015,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,PRACTITIONER-DW/30,RETAIL PHARMACY",1283
CA,EL DORADO,2012,183199323.500876,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,PRACTITIONER-DW/100,RETAIL PHARMACY",1282
CA,EL DORADO,2013,179043059.4110115,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,PRACTITIONER-DW/100,RETAIL PHARMACY",1320
CA,EL DORADO,2014,172447650.3225775,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,PRACTITIONER-DW/100,RETAIL PHARMACY",1296
CA,EL DORADO,2015,168923228.62094066,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,RETAIL PHARMACY",380
CA,EL DORADO,2016,158426293.201976,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,RETAIL PHARMACY",369
CA,EL DORADO,2017,157987155.96719128,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,RETAIL PHARMACY",421
CA,EL DORADO,2018,149692881.49542698,"CHAIN PHARMACY,HOSPITAL/CLINIC,PRACTITIONER,PRACTITIONER-DW/100,RETAIL PHARMACY",350
CA,EL DORADO,2019,163893693.2814528,"ANALYTICAL LAB,CHAIN PHARMACY,HOSPITAL/CLINIC,MAINT & DETOX,MLP-PHYSICIAN ASSISTANT,PRACTITIONER,RETAIL PHARMACY",451
CA,FRESNO,2006,647835868.0397058,"CHAIN PHARMACY,DETOXIFICATION,HOSP/CLINIC-VA,HOSPITAL/CLINIC,MAINT & DETOX,MAINTENANCE,MLP-NURSE PRACTITIONER,PRACTITIONER,PRACTITIONER-DW/100,PRACTITIONER-DW/30,RETAIL PHARMACY,TEACHING INSTITUTION",7604
CA,FRESNO,2007,706788543.92528,"CHAIN PHARMACY,DETOXIFICATION,HOSP/CLINIC-VA,HOSPITAL/CLINIC,MAINT & DETOX,MAINTENANCE,MLP-NURSE PRACTITIONER,MLP-PHYSICIAN ASSISTANT,PRACTITIONER,PRACTITIONER-DW/100,PRACTITIONER-DW/30,RETAIL PHARMACY,TEACHING INSTITUTION",7574
