Notes,County,County Code,Year,Year Code,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths,STATE,COUNTY,STNAME,CTYNAME,year,population,fips
,"Palm Beach County, FL",12099,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,175.0,12,99,Florida,Palm Beach County,2003,1218100,12099
,"Pasco County, FL",12101,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,52.0,12,101,Florida,Pasco County,2003,383238,12101
,"Pinellas County, FL",12103,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,112.0,12,103,Florida,Pinellas County,2003,926266,12103
,"Polk County, FL",12105,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,42.0,12,105,Florida,Polk County,2003,513058,12105
,"St. Lucie County, FL",12111,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0,12,111,Florida,St. Lucie County,2003,214924,12111
,"Santa Rosa County, FL",12113,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0,12,113,Florida,Santa Rosa County,2003,131463,12113
,"Sarasota County, FL",12115,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,50.0,12,115,Florida,Sarasota County,2003,347862,12115
,"Seminole County, FL",12117,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,33.0,12,117,Florida,Seminole County,2003,388141,12117
,"Volusia County, FL",12127,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,48.0,12,127,Florida,Volusia County,2003,466074,12127
,"Bibb County, GA",13021,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,13,21,Georgia,Bibb County,2003,153697,13021
,"Cherokee County, GA",13057,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,13,57,Georgia,Cherokee County,2003,165585,13057
,"Clayton County, GA",13063,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,13,63,Georgia,Clayton County,2003,252631,13063
,"Cobb County, GA",13067,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,34.0,13,67,Georgia,Cobb County,2003,634638,13067
,"DeKalb County, GA",13089,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,25.0,13,89,Georgia,DeKalb County,2003,668148,13089
,"Fulton County, GA",13121,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,62.0,13,121,Georgia,Fulton County,2003,812568,13121
,"Gwinnett County, GA",13135,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0,13,135,Georgia,Gwinnett County,2003,663391,13135
,"Muscogee County, GA",13215,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,13,215,Georgia,Muscogee County,2003,180838,13215
,"Richmond County, GA",13245,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,13,245,Georgia,Richmond County,2003,196958,13245
,"Rockdale County, GA",13247,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,13,247,Georgia,Rockdale County,2003,74860,13247
,"Ada County, ID",16001,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,16,1,Idaho,Ada County,2003,327393,16001
,"Hancock County, MS",28045,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,28,45,Mississippi,Hancock County,2003,45772,28045
,"Harrison County, MS",28047,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,29.0,28,47,Mississippi,Harrison County,2003,191290,28047
,"Jackson County, MS",28059,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,23.0,28,59,Mississippi,Jackson County,2003,134234,28059
,"Missoula County, MT",30063,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,30,63,Montana,Missoula County,2003,99976,30063
,"Brunswick County, NC",37019,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,37,19,North Carolina,Brunswick County,2003,80584,37019
,"Buncombe County, NC",37021,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,22.0,37,21,North Carolina,Buncombe County,2003,214982,37021
,"Burke County, NC",37023,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,37,23,North Carolina,Burke County,2003,89493,37023
,"Catawba County, NC",37035,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,37,35,North Carolina,Catawba County,2003,145601,37035
,"Cleveland County, NC",37045,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,37,45,North Carolina,Cleveland County,2003,97241,37045
,"Cumberland County, NC",37051,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,37,51,North Carolina,Cumberland County,2003,303318,37051
,"Davidson County, NC",37057,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,37,57,North Carolina,Davidson County,2003,152809,37057
,"Durham County, NC",37063,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,37,63,North Carolina,Durham County,2003,235570,37063
,"Forsyth County, NC",37067,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0,37,67,North Carolina,Forsyth County,2003,316659,37067
,"Gaston County, NC",37071,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,29.0,37,71,North Carolina,Gaston County,2003,191545,37071
,"Guilford County, NC",37081,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0,37,81,North Carolina,Guilford County,2003,436327,37081
,"Henderson County, NC",37089,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,37,89,North Carolina,Henderson County,2003,94246,37089
,"Iredell County, NC",37097,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,37,97,North Carolina,Iredell County,2003,133099,37097
,"Mecklenburg County, NC",37119,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,38.0,37,119,North Carolina,Mecklenburg County,2003,753991,37119
,"New Hanover County, NC",37129,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0,37,129,North Carolina,New Hanover County,2003,171928,37129
,"Pitt County, NC",37147,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,37,147,North Carolina,Pitt County,2003,141610,37147
,"Rockingham County, NC",37157,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,37,157,North Carolina,Rockingham County,2003,92779,37157
,"Rowan County, NC",37159,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,37,159,North Carolina,Rowan County,2003,132562,37159
,"Rutherford County, NC",37161,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,37,161,North Carolina,Rutherford County,2003,64475,37161
,"Wake County, NC",37183,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,31.0,37,183,North Carolina,Wake County,2003,695746,37183
,"Wilkes County, NC",37193,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,37,193,North Carolina,Wilkes County,2003,67617,37193
,"Clackamas County, OR",41005,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,41,5,Oregon,Clackamas County,2003,352032,41005
,"Douglas County, OR",41019,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,41,19,Oregon,Douglas County,2003,102776,41019
,"Jackson County, OR",41029,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,41,29,Oregon,Jackson County,2003,189838,41029
,"Lane County, OR",41039,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,41,39,Oregon,Lane County,2003,330845,41039
,"Marion County, OR",41047,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,41,47,Oregon,Marion County,2003,295317,41047
,"Multnomah County, OR",41051,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,70.0,41,51,Oregon,Multnomah County,2003,679348,41051
,"Washington County, OR",41067,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,41,67,Oregon,Washington County,2003,474336,41067
,"Aiken County, SC",45003,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,45,3,South Carolina,Aiken County,2003,146793,45003
,"Anderson County, SC",45007,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,45,7,South Carolina,Anderson County,2003,171862,45007
,"Charleston County, SC",45019,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,45,19,South Carolina,Charleston County,2003,321222,45019
,"Greenville County, SC",45045,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,32.0,45,45,South Carolina,Greenville County,2003,394242,45045
,"Horry County, SC",45051,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,36.0,45,51,South Carolina,Horry County,2003,211725,45051
,"Lexington County, SC",45063,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,45,63,South Carolina,Lexington County,2003,226887,45063
,"Richland County, SC",45079,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,26.0,45,79,South Carolina,Richland County,2003,336273,45079
,"Spartanburg County, SC",45083,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0,45,83,South Carolina,Spartanburg County,2003,260223,45083
,"York County, SC",45091,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,45,91,South Carolina,York County,2003,177138,45091
,"Anderson County, TN",47001,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,47,1,Tennessee,Anderson County,2003,71608,47001
,"Blount County, TN",47009,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,47,9,Tennessee,Blount County,2003,111156,47009
,"Davidson County, TN",47037,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,62.0,47,37,Tennessee,Davidson County,2003,577231,47037
,"Hamilton County, TN",47065,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,47,65,Tennessee,Hamilton County,2003,313079,47065
,"Knox County, TN",47093,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,54.0,47,93,Tennessee,Knox County,2003,394263,47093
,"Rutherford County, TN",47149,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,47,149,Tennessee,Rutherford County,2003,203483,47149
,"Shelby County, TN",47157,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,37.0,47,157,Tennessee,Shelby County,2003,906733,47157
,"Sumner County, TN",47165,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,47,165,Tennessee,Sumner County,2003,138153,47165
,"Wilson County, TN",47189,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,47,189,Tennessee,Wilson County,2003,94924,47189
,"Benton County, WA",53005,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,53,5,Washington,Benton County,2003,153596,53005
,"Clark County, WA",53011,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,30.0,53,11,Washington,Clark County,2003,374098,53011
,"King County, WA",53033,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,132.0,53,33,Washington,King County,2003,1763440,53033
,"Kitsap County, WA",53035,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,23.0,53,35,Washington,Kitsap County,2003,239758,53035
,"Pierce County, WA",53053,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,77.0,53,53,Washington,Pierce County,2003,733969,53053
,"Skagit County, WA",53057,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,53,57,Washington,Skagit County,2003,107369,53057
,"Snohomish County, WA",53061,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,65.0,53,61,Washington,Snohomish County,2003,635612,53061
,"Spokane County, WA",53063,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,58.0,53,63,Washington,Spokane County,2003,430710,53063
,"Thurston County, WA",53067,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,53,67,Washington,Thurston County,2003,219499,53067
,"Whatcom County, WA",53073,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,53,73,Washington,Whatcom County,2003,177851,53073
,"Yakima County, WA",53077,2003,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,53,77,Washington,Yakima County,2003,225161,53077
,"Bay County, FL",12005,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,12,5,Florida,Bay County,2004,158804,12005
,"Brevard County, FL",12009,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,96.0,12,9,Florida,Brevard County,2004,518722,12009
,"Broward County, FL",12011,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,190.0,12,11,Florida,Broward County,2004,1725461,12011
,"Charlotte County, FL",12015,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,12,15,Florida,Charlotte County,2004,157755,12015
,"Citrus County, FL",12017,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,12,17,Florida,Citrus County,2004,129840,12017
,"Clay County, FL",12019,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,22.0,12,19,Florida,Clay County,2004,163238,12019
,"Collier County, FL",12021,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,29.0,12,21,Florida,Collier County,2004,296021,12021
,"Duval County, FL",12031,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,91.0,12,31,Florida,Duval County,2004,820070,12031
,"Escambia County, FL",12033,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,33.0,12,33,Florida,Escambia County,2004,298225,12033
,"Hernando County, FL",12053,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,12,53,Florida,Hernando County,2004,149593,12053
,"Hillsborough County, FL",12057,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,127.0,12,57,Florida,Hillsborough County,2004,1108225,12057
,"Indian River County, FL",12061,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,12,61,Florida,Indian River County,2004,125001,12061
,"Lake County, FL",12069,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,12,69,Florida,Lake County,2004,254625,12069
,"Lee County, FL",12071,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,81.0,12,71,Florida,Lee County,2004,522431,12071
,"Manatee County, FL",12081,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,46.0,12,81,Florida,Manatee County,2004,296183,12081
,"Marion County, FL",12083,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,12,83,Florida,Marion County,2004,291164,12083
,"Martin County, FL",12085,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,12,85,Florida,Martin County,2004,139729,12085
,"Miami-Dade County, FL",12086,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,99.0,12,86,Florida,Miami-Dade County,2004,2358684,12086
,"Monroe County, FL",12087,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,12,87,Florida,Monroe County,2004,77616,12087
,"Nassau County, FL",12089,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,12,89,Florida,Nassau County,2004,63699,12089
,"Okaloosa County, FL",12091,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,22.0,12,91,Florida,Okaloosa County,2004,182506,12091
,"Orange County, FL",12095,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,75.0,12,95,Florida,Orange County,2004,1011681,12095
,"Osceola County, FL",12097,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,12,97,Florida,Osceola County,2004,216541,12097
,"Palm Beach County, FL",12099,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,170.0,12,99,Florida,Palm Beach County,2004,1252223,12099
,"Pasco County, FL",12101,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,72.0,12,101,Florida,Pasco County,2004,401648,12101
,"Pinellas County, FL",12103,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,142.0,12,103,Florida,Pinellas County,2004,928305,12103
,"Polk County, FL",12105,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,51.0,12,105,Florida,Polk County,2004,527685,12105
,"Putnam County, FL",12107,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,12,107,Florida,Putnam County,2004,72831,12107
,"St. Johns County, FL",12109,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,12,109,Florida,St. Johns County,2004,151717,12109
,"St. Lucie County, FL",12111,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,27.0,12,111,Florida,St. Lucie County,2004,228548,12111
,"Santa Rosa County, FL",12113,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,12,113,Florida,Santa Rosa County,2004,137241,12113
,"Sarasota County, FL",12115,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,47.0,12,115,Florida,Sarasota County,2004,357751,12115
,"Seminole County, FL",12117,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,23.0,12,117,Florida,Seminole County,2004,395230,12117
,"Volusia County, FL",12127,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,60.0,12,127,Florida,Volusia County,2004,476845,12127
,"Bartow County, GA",13015,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,13,15,Georgia,Bartow County,2004,87834,13015
,"Bibb County, GA",13021,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,13,21,Georgia,Bibb County,2004,154159,13021
,"Carroll County, GA",13045,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,13,45,Georgia,Carroll County,2004,99774,13045
,"Catoosa County, GA",13047,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,13,47,Georgia,Catoosa County,2004,58866,13047
,"Chatham County, GA",13051,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,22.0,13,51,Georgia,Chatham County,2004,240818,13051
,"Cherokee County, GA",13057,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,13,57,Georgia,Cherokee County,2004,173105,13057
,"Clayton County, GA",13063,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,13,63,Georgia,Clayton County,2004,255322,13063
,"Cobb County, GA",13067,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,44.0,13,67,Georgia,Cobb County,2004,640346,13067
,"Coweta County, GA",13077,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,13,77,Georgia,Coweta County,2004,104089,13077
,"DeKalb County, GA",13089,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,25.0,13,89,Georgia,DeKalb County,2004,666204,13089
,"Fulton County, GA",13121,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,53.0,13,121,Georgia,Fulton County,2004,809481,13121
,"Gwinnett County, GA",13135,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0,13,135,Georgia,Gwinnett County,2004,687468,13135
,"Hall County, GA",13139,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,13,139,Georgia,Hall County,2004,156385,13139
,"Jackson County, GA",13157,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,13,157,Georgia,Jackson County,2004,48288,13157
,"Paulding County, GA",13223,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,13,223,Georgia,Paulding County,2004,106350,13223
,"Richmond County, GA",13245,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,13,245,Georgia,Richmond County,2004,196883,13245
,"Spalding County, GA",13255,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,13,255,Georgia,Spalding County,2004,60588,13255
,"Whitfield County, GA",13313,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,13,313,Georgia,Whitfield County,2004,91842,13313
,"Ada County, ID",16001,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0,16,1,Idaho,Ada County,2004,334926,16001
,"Hancock County, MS",28045,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,28,45,Mississippi,Hancock County,2004,46717,28045
,"Harrison County, MS",28047,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,29.0,28,47,Mississippi,Harrison County,2004,195971,28047
,"Jackson County, MS",28059,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,25.0,28,59,Mississippi,Jackson County,2004,136565,28059
,"Lauderdale County, MS",28075,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,28,75,Mississippi,Lauderdale County,2004,78055,28075
,"Pearl River County, MS",28109,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,28,109,Mississippi,Pearl River County,2004,50624,28109
,"Brunswick County, NC",37019,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,37,19,North Carolina,Brunswick County,2004,83327,37019
,"Buncombe County, NC",37021,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,31.0,37,21,North Carolina,Buncombe County,2004,218139,37021
,"Burke County, NC",37023,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,37,23,North Carolina,Burke County,2004,89394,37023
,"Cabarrus County, NC",37025,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,37,25,North Carolina,Cabarrus County,2004,146429,37025
,"Caldwell County, NC",37027,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,37,27,North Carolina,Caldwell County,2004,79471,37027
,"Carteret County, NC",37031,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,37,31,North Carolina,Carteret County,2004,62127,37031
,"Catawba County, NC",37035,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,37,35,North Carolina,Catawba County,2004,147016,37035
,"Craven County, NC",37049,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,37,49,North Carolina,Craven County,2004,93548,37049
,"Cumberland County, NC",37051,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,37,51,North Carolina,Cumberland County,2004,307629,37051
,"Davidson County, NC",37057,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0,37,57,North Carolina,Davidson County,2004,154179,37057
,"Durham County, NC",37063,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,37,63,North Carolina,Durham County,2004,238376,37063
,"Forsyth County, NC",37067,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,37,67,North Carolina,Forsyth County,2004,319997,37067
,"Gaston County, NC",37071,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,39.0,37,71,North Carolina,Gaston County,2004,191646,37071
,"Guilford County, NC",37081,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,33.0,37,81,North Carolina,Guilford County,2004,440597,37081
,"Henderson County, NC",37089,2004,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0,37,89,North Carolina,Henderson County,2004,95797,37089
